rate_name,class,quality,bathroom,bedding,capacity,bedrooms,club,balcony,view,floor
Family Room (Egyptians and Egyptian Residents ONLY) (1 Twin Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior Family Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Double room - Executive - Classic - City View Double room - Executive - Classic - City View city,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Premium PREMIUM TWIN ROOM WITH BALCONY,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Deluxe Twin Room With Partial Haram View non-smoking,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
DOUBLE STANDARD,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard THEMED ROOM WITH PARK ACCESS Park,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe room with 1 double and sofa bed double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Budget Double Room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Honeymoon DOUBLE HONEYMOON,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Pool Access 2 Single Beds,Breakfast",room,deluxe,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
"Junior Suite, 1 King Bed, Sea View",room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Aloft Room, Guest room, 2 Twin/Single Bed(s), Balcony Aloft Room, Guest room, 2 Twin/Single Bed(s), Balcony",room,standard,private bathroom,single bed,single,undefined,not club,with balcony,undefined,undefined
"Duplex Studio ""Standard"" with a double bed double",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,duplex floor
Standard 2 Double Beds City View City,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Single OCEAN DELUXE,room,deluxe,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
2-room superior quadruple room with 2 twin beds double,room,standard,private bathroom,double/double-or-twin,quadruple,undefined,not club,no balcony,undefined,undefined
Premium Deluxe Spa Ocean View - King BB - Camp7 Pkg,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior TWIN SUPERIOR,room,superior,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Villa Villa - Garden view Garden,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Superior Twin Room, Free Beach Club Access In Palm Jumeirah Breakfast",room,standard,private bathroom,double/double-or-twin,double,undefined,club,no balcony,undefined,undefined
"1 King Bed, Non-Smoking, Microwave And Refrigerator, Shower Only, Full Breakfast",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Executive King with Balcony Executive King with Balcony,room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
"Deluxe Room, 2 Queen Beds, Balcony, Ocean View (2 Queen Beds)",room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Two Bedroom Loft TWO BEDROOMS LOFT,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Cliff Villa,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Room Twin City View,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double Room - Room Only Guest Room City View-Room Only-Refundable Rate,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Family Room, Multiple Beds, Connecting Rooms (1 King Bed and 2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Junior Suite (2 adults and 1 child) (1 Double Bed),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Superior Double Room, 1 Queen Bed, Smoking (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Classic Room, Garden View (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Room, 1 King Bed, Non Smoking (Fairmont Creek)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard  QUEEN ROOM WITH SOFA BED - FREE WI-FI/HOT BREAKFAST INCLUDED/MINI FRIDGE - SOFA BED/COFFEE-TEA FACILITIES/WALKIN SHOWER -,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Penthouse, 1 Bedroom (duplex type) (2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,1 bedroom,not club,no balcony,undefined,penthouse floor
"Double Guestroom, Garden View (2 Double Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
SUITE STANDARD,suite,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Interconnecting Executive Room and Junior Suite,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Duplex, 1 Double Bed with Sofa bed, Pool View",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,duplex floor
Twin/Double room - Superior - Balcony Half Board,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Paddy Dwelling with Pool,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Room With 2 Single Beds Superior Room With 2 Single Beds,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
"1 King Bed Classic Oceanfront Classic Room, 1 King Bed, Oceanfront (1 Double)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Lüx 8 Large Double(1 Amount),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Studio - King bed - Urban Living - Balcony Studio - King bed - Urban Living - Balcony,room,undefined,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
"Deluxe Twin Room, Balcony",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
"Classic Room with Sea View Classic Double or Twin Room, Sea View (1 Double or 1 Twin)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Single EXECUTIVE ROOM,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Deluxe Studio (1 King Bed),room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Double room - Economy Double room - Economy,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"fairmont 2bdrm suite 2kg, 860 sf, 79sm, garden views Room Only",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Economy room with 2 twin beds (without window) twin,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Premium suite 1 bedroom,suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
One Bedroom Suite Double (1 Double),suite,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
1 King Standard City View 1 King Standard City View,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Junior Suite - Beachfront Half Board,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Triple Economy  (Shared facilities) shared bathroom Twin beds,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Jacuzzi Water Villa - Seaplane Transfer included All Inclusive,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
King Room With View (1 King Bed),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
2 BEDROOM ASPEN SKI CHALET WITH 2 SKI DXB TICKET PER STAY/EXCUTIVE LOUNGE ACCESS Breakfast,room,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
One Bedroom Suite 1 Bedroom Suites,suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
"Premium Room, 1 King Bed, Accessible, Courtyard View (Newly Renovated) (1 King Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
STANDARD ROOM Room Only,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard DOUBLE SINGLE USE STANDARD,room,standard,private bathroom,single bed,double,undefined,not club,no balcony,undefined,undefined
1-room superior double or twin apartment double (Main Building),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
JUNIOR SUITE II Basic rate with breakfast,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Standard Double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Apartment, 2 Bedrooms, Balcony (4 Twin Beds and 2 Twin Sofa Beds)",room,standard,private bathroom,double/double-or-twin,double,2 bedroom,not club,with balcony,undefined,undefined
Mansard suite «Gogol'»,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Single room - De Luxe,room,deluxe,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Single ONE BEDROOM SUITE,suite,undefined,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
"Single, in block  (Shared facilities)",room,standard,shared bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
"Club Suite, 1 King Bed, Business Lounge Access, Oceanfront (1 King Bed)",room,undefined,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
"Standard Twin Room, 2 Twin Beds, Non Smoking",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite Master Suite King,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Twin/Double room - Lounge Access Twin/Double room - Lounge Access,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Supreme with Terrace Bathtub (1 Queen Bed),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
ONE BEDROOM SUITE TOP FLOORS KING BED,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard standard room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Deluxe 2 Double Beds,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
One Bedroom Deluxe Suite DELUXE SUITE (1 Bedroom Suite) - CREEK VIEW Creek,suite,deluxe,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
Guest Guest Room Atrium View-,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Room, 2 Double Beds (2 Double Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Rover Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Comfort Room (Down To Earth) (1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
King Room with River View non-smoking,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Premium Room With Double Bed non-smoking,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family Room (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe QUEEN DELUXE SKYLINE SEA VIEW DOUBLE Sea,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Queen Fairmont Gold Room, Lounge Access Queen/Queen",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
2 Queen Beds Room Partial Ocean View,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Standard Room, Balcony, Sea View (Lounge Access), 1 King Bed Sea",room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Executive double executive,room,executive,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Executive Club Suite Executive Suite (Club), 1 King Bed",suite,undefined,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
Twin/Double room - Cozy Twin/Double room - Cozy,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite superior room with 1 double bed (breakfast included) double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family Room (2 Double Beds and 1 Twin Sofa Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Wonderful Room, Room, 1 King Bed with Sofa bed, Smoking, Balcony",room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
One Bedroom Apartment Half Board,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Double room Queen bed - City View Double room Queen bed - City View city,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Signature Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Privilege (2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Luxury Room, 1 King Bed (1 King Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Tower TOWER ROOM PARTIAL SEAVIEW DOUBLE Sea,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Room, 2 Double Beds, Park View (Franklin)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Three Bedroom Apartment 3 BEDROOM APARTMENT,apartment,undefined,private bathroom,undefined,undefined,3 bedroom,not club,no balcony,undefined,undefined
Beach Pool Villa,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Double room with Whirlpool,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Comfort Basic rate without breakfast (payment at the hotel),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family Room (2 Bedroom) Breakfast,room,standard,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
"Premium Room, City View",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Garden View Double bed Twin beds,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Business Basic Rate without breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
1-room studio apartment double (Main Building),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Junior Suite 2-room Double bed,suite,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Studio room double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Apartment, 1 Bedroom (Select) (2 Twin Beds and 1 Double Sofa Bed)",room,undefined,private bathroom,double/double-or-twin,double,1 bedroom,not club,no balcony,undefined,undefined
"Classic Single Room, 1 Twin Bed (1 Twin Bed)",room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Comfort Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
DOUBLE SUPERIOR TWO DOUBLE BEDS,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family room - Twin Family room - Twin,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"1 Queen And 1 Single, Standard Room, View, Balcony, Twin On Request (1 Double 1 Twin)",room,standard,private bathroom,single bed,double,undefined,not club,with balcony,undefined,undefined
Three-bedroom Cliff Edge Villa,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Junior Suite, 1 King Bed",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Premium Room, 1 King Bed, Partial Ocean View non-smoking",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Two Bedroom Suite Grande 2 Bedroom Suite,suite,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Standard Room with 1 King size bed Room Only,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Economy room with 1 double bed double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Triple Room, Pool View (2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Deluxe DELUXE ROOM (BALCONY),room,deluxe,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
"Premier Suite, 2 Bedrooms, Ocean View (2 King Beds)",room,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Premium City View King Room Room Only,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Fairmont King Non-smoking Room Only,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
2-room superior standard quadruple room double,room,standard,private bathroom,double/double-or-twin,quadruple,undefined,not club,no balcony,undefined,undefined
Suite 1 bedroom - City View Suite 1 bedroom - City View city,suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
"Double or Twin Room, Courtyard View (no elevator) (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Executive Studio, Sea View (for 3) (1 Double Bed and 1 Twin Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Classic Double or Twin Room, Sea View (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Premium Premium Room, 2 Twin Beds",room,premium,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior Twin/Double room - Superior - Golden Horn view,room,superior,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Junior Suite Junior Suite-,junior-suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Quadruple Room (1 King Bed and 1 Twin Sofa Bed),room,standard,private bathroom,double/double-or-twin,quadruple,undefined,not club,no balcony,undefined,undefined
"Westin Club Suite SeaView, Club lounge access, 1 Bedroom Suite, 1 King, Sofa bed, Balcony Breakfast",suite,undefined,private bathroom,undefined,undefined,1 bedroom,club,with balcony,undefined,undefined
"Classic Room, 2 Twin Beds, Balcony, Lagoon View (2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
"Imperial One Bedroom Suite King, Club Lounge access/benefits, afternoon tea, luxury spa facilities",suite,undefined,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
Villa - Imperial - Raffles Villa - Imperial - Raffles,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Twin/Double Room - Superior,room,superior,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Superior Room, 2 Bedrooms, Garden View (1 King Bed and 2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,2 bedroom,not club,no balcony,undefined,undefined
"Standard Double Room, Balcony",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Classic CLASSIC ROOM,room,classic,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
room Black and White Double bed,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe TWO Double Beds Deluxe Room, 2 Double Beds",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family Room - King Bed,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Comfort Standart rate,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Single PREMIER VERSACE CREEK VIEW,room,deluxe,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Deluxe Suite with Terrace,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
superior triple room,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
"Apartment, 1 Bedroom (1 Double Bed and 1 Double Sofa Bed)",room,undefined,private bathroom,double/double-or-twin,double,1 bedroom,not club,no balcony,undefined,undefined
2X2 Adjoining Family,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Junior Suite 1 King Bed Non-Smoking Junior Suite Sofabed For One Person,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Executive Studio, 1 King Bed, Non Smoking",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior double or twin room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Two Queen Room with River View non-smoking,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Club Club Ocean View Queen and club access Ocean,room,standard,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
Junior Suite 1 Queen bed Non smoking non-smoking,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Double room King bed - Aloft Double room King bed - Aloft,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Apartments Double bed,room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Apartment, 2 Bedrooms (2 Double Beds)",room,deluxe,private bathroom,double/double-or-twin,double,2 bedroom,not club,no balcony,undefined,undefined
Family Room (Annex) (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Concept,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Queen Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Junior suite superior room with 3 single beds,room,undefined,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
"Fairmont Gold Jacuzzi Corner Palm Sea View Suite, Lounge Access Breakfast",room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Non-refundable with breakfast (For guests over 18 years old),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Triple Standard Triple Room Sea View NRF Sea,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
"Room, 1 Bedroom, Non Smoking (Fountain View)",room,standard,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
Standard with 1 double bed Standard rate with breakfast,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
DOUBLE STANDARD SEA VIEW,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior Apartment - Sea View,room,superior,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Single room - Premium Single room - Premium,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Large Corner Room Double Breakfast,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double room King bed - Bosphorus - Swiss Executive Double room King bed - Bosphorus - Swiss Executive,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double room King bed - Premium - Walk in Shower Double room King bed - Premium - Walk in Shower,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Suite (double French),suite,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior comfort NON - REFUNDABLE NO,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard business room with 1 single bed,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Deluxe Palm Sea View Suite Breakfast,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Single Room - With Breakfast Sky Superior-Bed & Breakfast-Refundable Rate,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
LUXE TWO BEDROOM SUITE Breakfast,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Grand Junior Suite with Terrace,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Classic 1 King Classic Balcony Marina View Marina,room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Single SUITE ROOM,suite,undefined,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
"room, 1 queen bed, accessible (hearing/mobility accessible)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe One Bedroom Suite,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Apartment, 1 Bedroom (2)",suite,deluxe,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
Deluxe Double Room (2 Adults + 2 Children) (2 Large Twin Beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Twin Room,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Studio, 1 King, Sofa bed, Mountain view Studio, 1 King, Sofa bed, Mountain view",room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, 1 King Bed, Balcony (1 King Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Standard Nonrefundable Rate with breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Resort View Junior Suite Double Breakfast,room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard cottage double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Studio (1 Double Bed and 1 Double Sofa Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Two Bedroom Suite Suite, 2 Bedrooms, 1 King Bed and 2 Twin Beds",suite,undefined,private bathroom,double/double-or-twin,double,2 bedroom,not club,no balcony,undefined,undefined
"Superior Room, 2 Double Beds",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
dormBed in 1-bed dormitory  (Main Building) in block,room,undefined,shared bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Luxury Double Room, 1 Double Bed, Bathtub, Sea View (1 Double)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Bazaar Bedroom,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family Room (2 Bedroom) Max 8 Room Only,room,standard,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Economy Economy Apartment.,room,economy,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Room with 2 Single Beds twin,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
De Luxe - Ocean View De Luxe - Ocean View ocean,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Superior Room, 2 Double Beds (2 Double Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Cinnamon Hill Double Bedroom,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double room King bed - Partial sea view Double room King bed - Partial sea view sea,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard Twin/Double room - Single use,room,standard,private bathroom,single bed,double,undefined,not club,no balcony,undefined,undefined
Deluxe Room With Partial Sea View,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
